Country Code,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFE,IC.BUS.DISC.XQ,,,,,,3.73076923076923,3.73076923076923,3.73076923076923,3.69230769230769,3.88461538461538,3.96153846153846,4.11538461538461,4.23076923076923,4.34615384615385,4.42307692307692,4.53846153846154,4.69230769230769,4.73076923076923,4.88461538461539,4.88461538461539,,
AFE,IC.CRD.INFO.XQ,,,,,,,,,,,,,,2.24,2.4,3.26923076923077,3.76923076923077,4.34615384615385,4.42307692307692,4.5,,
AFE,FS.AST.PRVT.GD.ZS,74.9798926334367,77.003129903379,62.4323760940614,71.3264320378861,80.2680451825998,85.8218538750853,94.9900024483043,94.000221084471,78.933470597269,79.2523391574289,83.9710842872006,74.9991903798794,77.6088952531296,74.1793650265943,72.3963335345263,65.1573833730418,62.9076859094223,64.2460091566748,65.2906392746222,63.5623356317428,59.7442246489629,
AFE,EG.USE.ELEC.KH.PC,780.702623963529,743.916043970902,769.080854071567,774.334166181245,777.672090685718,780.851052287502,789.4878404605,796.901935655247,760.576897141733,723.914903111308,740.41765510513,740.741605692739,703.908400908733,698.369914215573,686.728057221492,,,,,,,
AFE,EG.IMP.CONS.ZS,-31.3910700728529,-29.1363228434745,-32.9108840507047,-32.4199943225502,-31.1618160686318,-35.9394233025396,-38.8057893242221,-41.694275482213,-40.0256390924859,-38.314270953454,-38.2841587171351,-34.6227253100243,-32.2449915534232,-32.0350067306814,-31.655426118373,,,,,,,
AFE,GC.XPN.TOTL.GD.ZS,,,,,,,,,,23.8061028233452,23.7645935793812,25.5168157767111,23.4576651473495,25.1288989538157,25.0669411872412,23.9900899375585,22.9082061458793,25.4221665859869,24.3648782292967,25.8129971718337,,
AFE,IT.NET.BBND.P2,,,,,,0.0614095389959254,0.112406495100231,0.13373192572462,0.145390609718297,0.180793682039157,0.197978030949248,0.29452635438881,0.354239756744278,0.457200827987643,0.540377819686139,0.519799225324479,0.513050810283371,0.544641692243999,0.696897405090322,0.624076020364447,0.740055765011962,
AFE,IT.MLT.MAIN.P2,1.86083099700546,1.85969653647599,1.90194895663987,1.95503039675373,1.94836803570107,1.84286296867743,1.82409047935348,1.83943093056176,1.83353795293262,1.87254302242918,1.8238498433724,1.72880284917891,1.6338098384664,1.3593769622377,1.31235636413336,1.29483888044159,1.36399966410494,1.34524529936693,1.00473788649705,0.818892491274359,0.803164021137798,
AFE,NY.GDP.MKTP.KD.ZG,3.35077349562722,3.6587012149089,3.89337907673297,3.08037602693415,5.50835541325966,6.11680122972891,6.55488087371307,6.60428224821325,4.34345645134013,0.761219025383781,5.15212534897287,3.68087046123608,0.92306718208026,4.20020884185426,3.98438686117323,2.95284538392468,2.21701650452242,2.55713519352429,2.48524422522907,2.0259406786066,-2.88685564830078,4.30366702056686
AFE,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,
AFE,SE.XPD.TOTL.GD.ZS,3.76910996437073,4.57257986068725,,,3.74496006965637,3.81897008419037,3.7844899892807,,3.84499514102936,3.58538007736206,4.49659013748169,4.26929998397827,4.67736506462097,4.6217348575592,4.83983993530273,4.81508517265319,4.82187509536743,4.96308994293213,4.95163488388062,4.84684491157532,4.60817003250122,
AFE,TX.VAL.TECH.MF.ZS,,,,,,,,,,4.57984857751344,4.77044168591511,,,5.23544505052349,,6.51705526237608,6.44263014936285,6.16377018887807,4.28661168078416,6.91918614027457,4.41299003996808,
AFE,FP.CPI.TOTL.ZG,8.6014851485149,5.84035398311558,8.76375366426173,7.44970014007364,5.02342068616284,8.55803802239772,8.89816380214033,8.45077480634995,12.5666446595157,8.95421802392944,5.53753791645677,8.97120640995792,9.15870715471667,5.75098133352462,5.37028961008588,5.25017086354882,6.57139642173959,6.39934341569383,4.720811388773,4.12024587014984,5.40481467184518,7.24097765588449
